127.0.0.1, 2015-07-05 19:25:41, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.861790
127.0.0.1, 2015-07-05 19:25:41, GET, /admin/default/site, HTTP/1.1, 200, 1.300215
127.0.0.1, 2015-07-05 19:25:42, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 3.749469
127.0.0.1, 2015-07-05 19:25:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000485
127.0.0.1, 2015-07-05 19:25:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000461
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/default/index, HTTP/1.1, 200, 0.911652
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000812
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001593
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000941
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000732
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/js/jquery.js, HTTP/1.1, 200, 0.000809
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/css/calendar.css, HTTP/1.1, 200, 0.001493
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/js/calendar.js, HTTP/1.1, 200, 0.005773
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/js/web2py.js, HTTP/1.1, 200, 0.007252
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000674
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/js/share.js, HTTP/1.1, 200, 0.000607
127.0.0.1, 2015-07-05 19:25:47, GET, /app1/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002521
127.0.0.1, 2015-07-05 19:25:48, GET, /app1/static/images/background.jpg, HTTP/1.1, 200, 0.000748
127.0.0.1, 2015-07-05 19:25:48, GET, /app1/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000892
127.0.0.1, 2015-07-05 19:25:48, GET, /app1/static/images/twitter.png, HTTP/1.1, 200, 0.000630
127.0.0.1, 2015-07-05 19:25:48, GET, /app1/static/images/facebook.png, HTTP/1.1, 200, 0.000743
